water_binder_ratio,cement_amount,fly_ash_dosage,slag_dosage,lithium_slag_dosage,composite_powder_dosage,sand_ratio,superplasticizer_dosage,has_fly_ash,has_slag,has_lithium_slag,has_composite_powder,has_superplasticizer,cement_strength_28d,cement_standard_consistency,fly_ash_activity_index,fly_ash_water_demand_ratio,slag_activity_index,slag_fluidity_ratio,lithium_slag_activity_index,lithium_slag_water_demand_ratio,composite_powder_activity_index,composite_powder_fluidity_ratio,sand_fineness_modulus,sand_mb_value,sand_mud_content,stone_crushing_value,stone_needle_flake,super_water_reducing_rate,super_solid_content,super_recommended_dosage,feature_slump,temperature,humidity,curing_age,target_strength_28d,target_slump,target_density,target_superplasticizer_dosage
0.51,210,0,15,0,20,46,1.8,0,1,0,1,1,58.7,27.9,-1,-1,91,103,-1,-1,75,103,2.75,0.33,7.4,8.2,6,29.93,8.66,1.8,180,20,95,28,47.6,-1,2390,1.8
0.46,213,0,0,25,15,45,2.4,0,0,1,1,1,58.7,27.9,-1,-1,-1,-1,91,104,78,101,2.76,0.25,7.4,8.2,6,29.93,8.66,2.6,220,20,95,28,57,-1,2390,2.4
0.26,450,16,8,0,0,38,2.9,1,1,0,0,1,57.8,26.6,102,93,107,103,-1,-1,-1,-1,3.2,0.25,1.5,8.5,6,29.93,8.66,1.8,210,20,95,28,85.3,-1,2450,2.9
0.65,360,0,0,0,0,46,0,0,0,0,0,0,57,27.9,-1,-1,-1,-1,-1,-1,-1,-1,2.6,0.25,7,8.1,6,29.93,8.66,1.8,200,20,95,28,37,-1,2454,0
0.45,360,0,0,0,0,46,1.8,0,0,0,0,1,57,27.9,-1,-1,-1,-1,-1,-1,-1,-1,2.6,0.25,7,8.1,6,29.93,8.66,1.8,220,20,95,28,40.1,-1,2390,1.8
0.51,209,0,15,0,20,46,1.9,0,1,0,1,1,56.2,27.8,-1,-1,113,106,-1,-1,84,100,2.5,0.3,9,8.6,6,29.93,8.66,1.8,215,20,95,28,48.1,-1,2400,1.9
0.29,409,0,10,0,10,39,2.5,0,1,0,1,1,56.2,27.8,-1,-1,113,106,-1,-1,84,100,2.5,0.3,9,8.6,6,29.93,8.66,1.8,235,20,95,28,70.4,-1,2440,2.5
0.52,210,0,15,0,19,46,2.04,0,1,0,1,1,55.5,27.6,-1,-1,100,105,-1,-1,84,100,2.5,0.3,9,8.1,6,29.93,8.66,1.8,215,20,95,28,43.3,-1,2390,2.04
0.5,210,0,0,18,18,45,2.35,0,0,1,1,1,55.5,27.6,-1,-1,-1,-1,105,101,84,100,2.5,0.3,9,8.1,6,29.93,8.66,2.6,215,20,95,28,45,-1,2390,2.35
0.47,210,0,0,18,18,45,2.6,0,0,1,1,1,55.5,27.6,-1,-1,-1,-1,105,101,84,100,2.5,0.3,9,8.1,6,29.93,8.66,2.6,220,20,95,28,45.8,-1,2390,2.6
0.52,210,0,0,25,16,46,2.2,0,0,1,1,1,61.5,27.7,-1,-1,-1,-1,105,101,94,102,2.5,0.3,9,8.1,6,29.93,8.66,2.6,230,20,95,28,40.4,-1,2390,2.2
0.46,206,0,0,25,17,43.6,2.7,0,0,1,1,1,58.6,27.2,-1,-1,-1,-1,105,101,87,103,2.55,0.27,5.6,8,6,28.53,9.41,2.6,235,20,95,28,49,-1,2400,2.7
0.52,200,0,19,0,19,44.7,2.1,0,1,0,1,1,58.6,27.2,-1,-1,113,104,-1,-1,87,103,2.55,0.27,5.6,8,6,28.53,9.41,1.8,220,20,95,28,43.2,-1,2400,2.1
0.51,210,0,15,0,20,45.2,1.8,0,1,0,1,1,56.2,27.6,-1,-1,112,108,-1,-1,88,103,2.55,0.27,5.6,7.2,5,28.99,10.2,1.8,210,20,95,28,39.4,-1,2390,1.8
0.52,210,0,16,0,19,46,1.45,0,1,0,1,1,57.5,26.6,-1,-1,112,108,-1,-1,88,103,2.55,0.27,5.6,7.2,5,28.99,10.2,1.8,230,20,95,28,43,-1,2400,1.45
0.46,206,0,0,25,17,44.7,2,0,0,1,1,1,56.8,26.8,-1,-1,-1,-1,97,105,91,102,2.55,0.27,5.6,7.2,5,28.99,10.2,2.6,225,20,95,28,40.2,-1,2407,2
0.46,146,0,0,42,17,44.7,2.1,0,0,1,1,1,56.8,26.8,-1,-1,-1,-1,97,105,91,102,2.55,0.27,5.6,7.2,5,28.99,10.2,2.6,215,20,95,28,44.1,-1,2407,2.1
0.46,188,0,0,41,6,44.7,1.8,0,0,1,1,1,56.8,26.8,-1,-1,-1,-1,97,105,91,102,2.55,0.27,5.6,7.2,5,28.99,10.2,2.6,235,20,95,28,39.2,-1,2414,1.8
0.42,188,6,0,38,6,44.7,2,1,0,1,1,1,56.8,26.8,101,94,-1,-1,97,105,91,102,2.55,0.27,5.6,7.2,5,28.99,10.2,2.6,230,20,95,28,53.6,-1,2445,2
0.46,191,0,0,39,8,44.7,1.7,0,0,1,1,1,61,27.2,-1,-1,-1,-1,97,105,85,102,2.55,0.27,5.6,7.2,5,28.99,10.2,2.6,230,20,95,28,37.6,-1,2412,1.7
0.46,200,0,0,30,13,45,2.41,0,0,1,1,1,53,27.1,-1,-1,-1,-1,97,105,74,99,2.8,0.27,10,8,5.8,30.47,9.14,2.6,215,20,95,28,50.4,-1,2390,2.41
0.29,430,0,9,0,11,37,2.9,0,1,0,1,1,53,27.1,-1,-1,112,105,-1,-1,74,99,2.8,0.27,10,8,5.8,30.47,9.14,1.8,240,20,95,28,70.2,-1,2450,2.9
0.49,200,0,0,27,15,45,2.18,0,0,1,1,1,54.2,27.6,-1,-1,-1,-1,98,102,85,101,2.8,0.27,10,8,5.8,30.47,9.14,2.6,220,20,95,28,43.9,-1,2390,2.18
0.34,335,0,0,16,10,41,2.14,0,0,1,1,1,54.2,27.6,-1,-1,-1,-1,98,102,85,101,2.8,0.27,10,8,5.8,30.47,9.14,2.6,230,20,95,28,62.9,-1,2430,2.14
0.46,239,0,13,0,20,45,1.73,0,1,0,1,1,60.3,27.6,-1,-1,112,105,-1,-1,78,100,2.8,0.25,6.4,8.1,5.3,30.47,9.14,1.8,220,20,95,28,48.1,-1,2400,1.73
0.46,200,0,0,30,13,45.5,2.34,0,0,1,1,1,52.7,27.4,-1,-1,-1,-1,91,104,78,100,2.8,0.25,6.4,8.1,5.3,30.47,9.14,2.6,235,20,95,28,48.6,-1,2390,2.34
0.29,413,0,10,0,12,38,2.84,0,1,0,1,1,52.7,27.4,-1,-1,106,98,-1,-1,78,100,2.8,0.25,6.4,8.1,5.3,30.47,9.14,1.8,235,20,95,28,70.5,-1,2450,2.84
0.46,216,0,0,25,15,44.5,1.81,0,0,1,1,1,61.6,27,-1,-1,-1,-1,91,104,77,103,2.9,0.27,6.8,8.1,5.3,30.47,9.14,2.6,235,20,95,28,48.5,-1,2390,1.81
0.26,450,16,8,0,0,40,1.95,1,1,0,0,1,57.4,27.6,106,92,116,101,-1,-1,-1,-1,3,0.25,4.2,8.7,5.3,30.55,11.89,1.8,255,20,95,28,86.9,-1,2410,1.95
0.26,450,12,13,0,0,38,2.39,1,1,0,0,1,53.7,27.4,106,92,116,101,-1,-1,-1,-1,3.2,0.25,4.7,8.6,5.3,31.32,11.81,1.8,255,20,95,28,76.9,-1,2450,2.39
0.46,206,0,0,25,17,46,2.05,0,0,1,1,1,63.1,27.2,-1,-1,-1,-1,90,107,83,98,3,0.3,6.7,9.6,5.3,31.32,11.81,2.6,235,20,95,28,50.5,-1,2400,2.05
